"starting_age","erl_reference","erl_exposed","yll","yll_se","ci_low","ci_high"
40,41.9407778302911,36.2798022241426,5.66097560614857,0.85316234197005,3.98880814292142,7.33314306937571
45,37.1054113945544,31.6822933661197,5.42311802843469,0.678173913490938,4.09392158273787,6.75231447413151
50,32.3874325902992,27.1406314994253,5.24680109087382,0.619365653735751,4.03286671629064,6.460735465457
55,27.8316643266524,22.7305088869808,5.10115543967161,0.599388257086036,3.92637604302675,6.27593483631648
60,23.458911733888,18.6225850703226,4.83632666356536,0.592559898846615,3.6749306031433,5.99772272398743
65,19.2871209826179,14.8947636420599,4.392357340558,0.596584996379716,3.2230722339368,5.5616424471792
70,15.3622816657933,11.3529158769312,4.00936578886208,0.649122927515292,2.7371082293929,5.28162334833126
75,11.6657047849731,8.12629390162965,3.53941088334344,0.698911862557725,2.16956880436249,4.90925296232439
80,8.09798819005528,5.40559539721504,2.69239279284024,0.632659207800198,1.45240353106421,3.93238205461627
85,4.41668188635616,3.17755758808848,1.23912429826768,0.337963262910028,0.576728474866383,1.90152012166897
90,0,0,0,0,0,0
